participant,photo_set,trial,block,accuracy,RT,learn_half,meanrt,stdev
114,3,18,4,0,6.86164600000484,2,6.899542118515389,1.2152004038691473
114,3,19,4,1,4.99142059998121,2,6.899542118515389,1.2152004038691473
114,3,20,4,1,7.64288260001922,2,6.899542118515389,1.2152004038691473
114,3,21,4,1,7.62823620002018,2,6.899542118515389,1.2152004038691473
114,3,22,5,1,6.41506899998058,2,6.899542118515389,1.2152004038691473
114,3,23,5,0,7.52660500002094,2,6.899542118515389,1.2152004038691473
114,3,24,5,1,5.61542389995884,2,6.899542118515389,1.2152004038691473
114,3,25,5,0,7.48554780002451,2,6.899542118515389,1.2152004038691473
114,3,26,5,0,6.20513030001894,2,6.899542118515389,1.2152004038691473
114,3,27,5,1,6.2667735000141,2,6.899542118515389,1.2152004038691473
114,3,28,5,0,8.29967029998079,2,6.899542118515389,1.2152004038691473
115,NA,3,1,1,6.90857820003293,1,5.093766407999209,1.2103898434732636
115,NA,4,1,1,4.87713079992682,1,5.093766407999209,1.2103898434732636
115,NA,6,2,1,7.19815269997343,1,5.093766407999209,1.2103898434732636
115,NA,7,2,1,4.40865860006306,1,5.093766407999209,1.2103898434732636
115,NA,8,2,1,7.44269980001263,1,5.093766407999209,1.2103898434732636
115,NA,9,2,1,4.63656220003031,1,5.093766407999209,1.2103898434732636
115,NA,10,2,1,4.74438629997894,1,5.093766407999209,1.2103898434732636
115,NA,11,3,1,4.56171539996285,1,5.093766407999209,1.2103898434732636
115,NA,13,3,1,4.33979270001873,1,5.093766407999209,1.2103898434732636
115,NA,14,3,1,4.55231739999726,1,5.093766407999209,1.2103898434732636
115,NA,15,6,1,4.56898180011194,2,5.093766407999209,1.2103898434732636
115,NA,16,6,1,4.0432328999741,2,5.093766407999209,1.2103898434732636
115,NA,17,4,1,4.4546356999781,2,5.093766407999209,1.2103898434732636
115,NA,18,4,1,4.75439350004308,2,5.093766407999209,1.2103898434732636
115,NA,19,4,1,4.92861059994902,2,5.093766407999209,1.2103898434732636
115,NA,20,4,1,4.53836749994662,2,5.093766407999209,1.2103898434732636
115,NA,21,4,0,4.82089219999034,2,5.093766407999209,1.2103898434732636
115,NA,22,5,1,5.3766265999293,2,5.093766407999209,1.2103898434732636
115,NA,23,5,1,4.46038820000831,2,5.093766407999209,1.2103898434732636
115,NA,24,5,1,4.71785630006343,2,5.093766407999209,1.2103898434732636
115,NA,25,5,1,4.16198209999129,2,5.093766407999209,1.2103898434732636
115,NA,26,5,1,4.31083700002637,2,5.093766407999209,1.2103898434732636
115,NA,27,5,1,5.35370119998697,2,5.093766407999209,1.2103898434732636
115,NA,28,5,1,4.17424480000045,2,5.093766407999209,1.2103898434732636
116,NA,1,1,0,5.62198560000979,1,5.379664842307998,1.5337111789580864
116,NA,2,1,1,4.72455919999629,1,5.379664842307998,1.5337111789580864
116,NA,4,1,0,4.88741750000918,1,5.379664842307998,1.5337111789580864
116,NA,6,2,1,4.9621926999971,1,5.379664842307998,1.5337111789580864
116,NA,7,2,0,7.23742380000476,1,5.379664842307998,1.5337111789580864
116,NA,8,2,1,4.68974280000839,1,5.379664842307998,1.5337111789580864
116,NA,9,2,1,3.99015040000086,1,5.379664842307998,1.5337111789580864
116,NA,10,2,1,4.62975950000691,1,5.379664842307998,1.5337111789580864
