participant,photo_set,group,trial,block,accuracy,RT,learn_half,groupname,meanrt,stdev
0004,3,2,5,1,1,3.88653670000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,6,2,1,6.13256909999996,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,7,2,1,7.47480330000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,8,2,1,5.71545930000002,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,9,2,0,3.91091689999996,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,10,2,0,5.3110825,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,11,3,1,5.78886569999997,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,12,3,1,5.33658289999994,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,13,3,1,4.18385720000003,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,14,3,0,5.52457979999997,1,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,15,4,0,4.77878880000003,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,16,4,1,3.64571020000005,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,17,4,1,3.74095,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,18,4,0,6.6194524,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,19,4,0,5.77165339999999,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,20,5,1,4.97410109999998,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,21,5,1,5.68062470000007,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,171,5,1,3.49745580000013,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,23,5,0,4.27439639999989,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,180,5,1,4.56848560000003,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,189,6,1,8.00927200000001,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,192,6,1,4.66249299999981,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,27,6,1,4.52683389999993,2,Non-sequential,5.366143053571423,1.4852542901852237
0004,3,2,28,6,1,3.58509359999994,2,Non-sequential,5.366143053571423,1.4852542901852237
0005,4,2,1,1,0,6.18662649998441,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,5,1,1,4.0138297000085,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,6,2,0,4.29216309997719,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,7,2,1,5.25602540001273,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,8,2,1,6.09486270003254,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,9,2,0,4.43673020001734,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,10,2,1,4.02434699999867,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,11,3,0,6.3649873000104,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,12,3,1,4.62276840000413,1,Non-sequential,5.492531865212621,1.3924740989485105
0005,4,2,14,3,0,4.21491689997492,1,Non-sequential,5.492531865212621,1.3924740989485105
